,player,span,playing_team,matches,innings,not_out,runs,strike_rate,average,balls_faced,highest_score,hundreds,fifties,ducks,fours,sixes
128,C Green (MI/RCB),2023-2024,MI/RCB,29,28,11.0,707,153.69,41.58,460,100*,1.0,2.0,,62,32
129,T Stubbs (DC/MI),2022-2025,DC/MI,32,30,13.0,705,163.19,41.47,432,71*,,3.0,2.0,51,37
130,DC Jurel (RR),2023-2025,RR,42,35,11.0,680,153.84,28.33,442,70,,4.0,3.0,51,38
131,TL Suman (DCH/MI/PWI),2009-2013,DCH/MI/PWI,43,40,8.0,676,117.56,21.12,575,78*,,2.0,3.0,55,26
132,AM Nayar (KXIP/MI/PWI/RR),2008-2014,KXIP/MI/PWI/RR,60,50,12.0,672,116.46,17.68,577,45*,,,3.0,55,20
133,GJ Bailey (CSK/KXIP/RPS),2009-2016,CSK/KXIP/RPS,40,37,10.0,663,121.87,24.55,544,61*,,2.0,1.0,59,19
134,Abishek Porel (DC),2023-2025,DC,31,29,3.0,661,149.88,25.42,441,65,,3.0,2.0,65,27
135,E Lewis (LSG/MI/RR),2018-2022,LSG/MI/RR,27,26,2.0,654,137.1,27.25,477,65,,4.0,2.0,62,36
136,PP Chawla (CSK/KKR/KXIP/MI),2008-2024,CSK/KKR/KXIP/MI,192,92,36.0,624,110.83,11.14,563,24*,,,16.0,56,20
137,CH Morris (CSK/DC/RCB/RR),2013-2021,CSK/DC/RCB/RR,81,51,23.0,618,155.27,22.07,398,82*,,2.0,9.0,41,35
138,JJ Roy (DC/GL/KKR/SRH),2017-2023,DC/GL/KKR/SRH,21,21,2.0,614,138.6,32.31,443,91*,,4.0,,75,21
139,PJ Cummins (DC/KKR/SRH),2014-2025,DC/KKR/SRH,72,50,20.0,612,152.23,20.4,402,66*,,3.0,4.0,39,41
140,JD Ryder (PWI/RCB),2009-2012,PWI/RCB,29,29,1.0,604,131.87,21.57,458,86,,4.0,4.0,69,19
141,Rashid Khan (GT/SRH),2017-2025,GT/SRH,136,68,26.0,585,160.27,13.92,365,79*,,1.0,16.0,41,41
142,SN Khan (DC/KXIP/PBKS/RCB),2015-2023,DC/KXIP/PBKS/RCB,50,37,11.0,585,130.58,22.5,448,67,,1.0,3.0,63,14
143,HM Amla (KXIP),2016-2017,KXIP,16,16,3.0,577,141.76,44.38,407,104*,2.0,3.0,2.0,60,21
144,Shahbaz Ahmed (LSG/RCB/SRH),2020-2025,LSG/RCB/SRH,58,38,9.0,545,121.65,18.79,448,59*,,1.0,1.0,29,25
145,CJ Anderson (DC/MI/RCB),2014-2018,DC/MI/RCB,30,29,7.0,538,127.18,24.45,423,95*,,3.0,2.0,40,31
146,RS Bopara (KXIP/SRH),2009-2015,KXIP/SRH,24,22,4.0,531,117.21,29.5,453,84,,3.0,2.0,39,16
147,MK Lomror (RCB/RR),2018-2024,RCB/RR,40,35,6.0,527,141.28,18.17,373,54*,,1.0,3.0,33,30
148,JP Faulkner (GL/KXIP/PWI/RR),2011-2017,GL/KXIP/PWI/RR,60,45,20.0,527,135.47,21.08,389,46,,,,36,23
149,M Manhas (CSK/DC/PWI),2008-2014,CSK/DC/PWI,55,38,15.0,514,109.36,22.34,470,42*,,,6.0,43,10
